A_NET,P_I,T_LEAF,PPAR
1.318196006,3.218862651,24.95129395,2000.184082
2.531065628,3.77522386,25.00167274,1999.848511
3.898615173,4.249378942,25.02020073,1999.757568
5.256432533,4.89442999,25.02895927,1999.731445
6.40705824,5.715679618,25.021698,2000.203857
7.449363905,6.70609069,24.96550369,2001.310059
8.412508718,7.766793925,24.85633087,1998.287598
10.13800725,10.253606,24.79080772,2000.129395
10.96944135,12.94189617,24.86536598,2001.575562
12.54684447,15.96778445,24.90571594,1998.584595
12.09629501,20.52016475,24.91264153,1998.593384
13.00739368,24.76733226,24.99955559,1999.208008
13.12777875,26.07050701,24.91243553,2001.338867
13.39094417,30.46457437,24.98841476,2000.472534
12.87378724,41.04353359,24.9727459,1999.590942
13.18751238,44.99989382,24.92938995,1999.252686
13.30255475,56.67696572,24.85366821,1998.943359
12.47579369,13.52696233,25.28484535,1999.654663
11.71330009,13.55324456,24.65563774,1498.074707
11.54346814,13.63082395,24.81822205,1201.838745
11.27165334,13.53548631,24.86160851,999.2263794
10.36343818,14.37680118,24.93519974,800.7088623
9.552798027,13.86761139,24.92808342,598.9940186
5.633690646,17.67660027,24.89293289,301.0348511
3.388302274,22.87290927,25.01713371,199.6666565
2.823051466,23.67869556,25.07973099,151.8089905
1.616324144,27.5378623,25.1301403,100.7610321
0.90481167,31.71930915,25.15079117,74.13803864
-0.057209411,39.27218495,25.17418289,48.6744194
-0.542222109,44.54789929,25.09283447,24.73633957
-1.540841463,56.30783492,25.0413208,0.085076496
4.48134712,16.83328635,26.69193459,2001.416016
-0.902743723,42.43089764,25.0579071,0.089305326
